name,fraction,tier,state,attack,defense,ammo,damage_min,damage_max,health,speed,growth,max_growth,gold_cost,lux_cost,special,AI_value
pikemen,castle,1,basic,4,5,0,1,3,10,4,14,28,60,0,Immune to jousting bonus,80
archers,castle,2,basic,6,3,12,2,3,10,4,9,18,100,0,Shoots,126
griffins,castle,3,basic,8,8,0,3,6,25,6,7,17,200,0,Flies.Retaliates twice,351
swordsmen,castle,4,basic,10,12,0,6,9,35,5,4,8,300,0,None,445
monks,castle,5,basic,12,7,12,10,12,30,5,3,6,400,0,Shoots,485
cavaliers,castle,6,basic,15,15,0,15,25,100,7,2,4,1000,0,Jousting bonus,1946
angels,castle,7,basic,20,20,0,50,50,200,12,1,2,3000,1,Flies.+1 morale.Hates devils,5019
halberdiers,castle,1,upgraded,6,5,0,2,3,10,5,14,28,75,0,Immune to jousting bonus,115
marksmen,castle,2,upgraded,6,3,24,2,3,10,6,9,18,150,0,Shoots twice,184
royal griffinds,castle,3,upgraded,9,9,0,3,6,25,9,7,17,240,0,Flies.Unlimited retaliations,448
crusaders,castle,4,upgraded,12,12,0,7,10,35,6,4,8,400,0,Strikes twice,588
zealots,castle,5,upgraded,12,10,24,10,12,30,7,3,6,450,0,Shoots.No melee penalty,750
champions,castle,6,upgraded,16,16,0,20,25,100,9,2,4,1200,0,Jousting bonus,2100
archangels,castle,7,upgraded,30,30,0,50,50,250,18,1,2,5000,3,Flies.+1 morale.Hates devils.Resurrects allies,8776
pixies,conflux,1,basic,2,2,0,1,2,3,7,20,50,25,0,Flies,55
air elementals,conflux,2,basic,9,9,0,2,8,25,7,6,12,250,0,Elemental.Immune to Meteor Shower.Vulnerable to Lightning and Armageddon.+100% damage to earth elementals,356
water elementals,conflux,3,basic,8,10,0,3,7,30,5,6,12,300,0,Elemental.Immune to ice.Vulnerable to Fireball.Inferno and Armageddon.+100% damage to fire elementals,315
fire elementals,conflux,4,basic,10,8,0,4,6,35,6,5,10,350,0,Elemental.Fire immunity.Ice vulnerability.+100% damage to water elementals,345
earth elementals,conflux,5,basic,10,10,0,4,8,40,4,4,8,400,0,Elemental.Immune to Lightning and Armageddon.Vulnerable to Meteor Shower.+100% damage to air elementals,330
psychic elementals,conflux,6,basic,15,13,0,10,20,75,7,2,4,950,0,Elemental.Attacks all adjacent enemies without retalitation.No enemy retaliation.-50% damage to creatures with mind spell immunity,1669
firebirds,conflux,7,basic,18,18,0,30,40,150,15,1,3,2000,0,Flies.Breath attack.Damage from fire spells reduced by 50%,4336
sprites,conflux,1,upgraded,2,2,0,1,3,3,9,20,50,30,0,Flies.No enemy retaliation,95
storm elementals,conflux,2,upgraded,9,9,24,2,8,25,8,6,12,275,0,Immune to Meteor Shower.Vulnerable to Lightning and Armageddon.+100% damage to earth elementals. Casts Protection from Air.Shoots,486
ice elementals,conflux,3,upgraded,8,10,24,3,7,30,6,6,12,375,0,Immune to ice.Vulnerable to Fireball.Inferno and Armageddon.+100% damage to fire elementals.Casts Protection from Water.Shoots,380
energy elementals,conflux,4,upgraded,12,8,0,4,6,35,8,5,10,400,0,Elemental.Fire immunity.Ice vulnerability.+100% damage to water elementals.Casts Protection from Fire,470
magma elementals,conflux,5,upgraded,11,11,0,6,10,40,6,4,8,500,0,Elemental.Immune to Lightning and Armageddon.Vulnerable to Meteor Shower.+100% damage to air elementals.Casts Protection from Earth,490
magic elementals,conflux,6,upgraded,15,13,0,15,25,80,9,2,4,1200,0,Elemental.Attacks all adjacent enemies without retalitation.No enemy retaliation.Spell immunity.-50% damage to creatures with mind spell immunity,2012
phoenixes,conflux,7,upgraded,12,18,0,30,40,200,21,1,3,3000,1,Flies.Breath attack.Fire spell immunity.Rebirth,6721
nymphs,cove,1,basic,5,2,0,1,2,4,6,16,32,35,0,Teleportation.Immune to ice,57
crew mates,cove,2,basic,7,4,0,2,4,15,5,9,23,110,0,None,155
pirates,cove,3,basic,8,6,4,3,7,15,6,7,14,225,0,Shoots.No melee penalty,312
stormbirds,cove,4,basic,10,8,0,6,9,30,9,4,11,275,0,Flies,502
sea witches,cove,5,basic,12,7,12,10,14,35,6,3,6,515,0,Shoots.Casts Weekness after a shot (Basic level),790
nix,cove,6,basic,13,16,0,18,22,80,6,2,4,1000,0,Ignores 30% of enemy's attack skill,1415
sea serpents,cove,7,basic,22,16,0,30,55,180,9,1,2,2200,1,Poisonous,3953
oceanids,cove,1,upgraded,6,2,0,1,2,4,8,16,32,45,0,Teleportation.Immune to ice,75
seamen,cove,2,upgraded,8,6,0,3,4,15,6,9,23,140,0,None,174
corsairs,cove,3,upgraded,10,8,4,3,7,15,7,7,14,275,0,Shoots.No melee penalty.No enemy retaliation,407
sea dogs,cove,3,upgraded,12,11,12,3,7,15,8,7,14,375,0,Shoots.No melee penalty.No enemy retaliation.Accurate Shot,602
ayssids,cove,4,upgraded,11,8,0,6,10,30,11,4,11,325,0,Flies.Ferocity,645
sorceresses,cove,5,upgraded,12,9,12,10,16,35,7,3,6,565,0,Shoots.Casts Weekness after a shot (Advanced level),852
nix warriors,cove,6,upgraded,14,17,0,18,22,90,7,2,4,1300,0,Ignores 60% of enemy's attack skill,2116
haspids,cove,7,upgraded,29,20,0,30,55,300,12,1,2,4000,2,Poisonous.Revenge,7220
troglodytes,dungeon,1,basic,4,3,0,1,3,5,4,14,35,50,0,Immune to Blinding and Stone Gaze,59
harpies,dungeon,2,basic,6,5,0,1,4,14,6,8,16,130,0,Flies.Strike and return,130
beholders,dungeon,3,basic,9,7,12,3,5,22,5,7,14,250,0,Shoots.No melee penalty,336
medusas,dungeon,4,basic,9,9,4,6,8,25,5,4,8,300,0,Shoots.No melee penalty.Stone gaze,517
minotaurs,dungeon,5,basic,14,12,0,12,20,50,6,3,6,500,0,Good morale,835
manticores,dungeon,6,basic,15,13,0,14,20,80,7,2,4,850,0,Flies,1547
red dragons,dungeon,7,basic,19,19,0,40,50,180,11,1,2,2500,1,Flies.Breath attack.Immune to spell levels 1-3,4702
